Category,Item,Quantity,Unit Price (USD),Line Total (USD),Product Link
Actuation,"SteadyWin GIM6010-48 48:1 planetary geared ankle motor, without driver",2,156.00,312.00,https://rcdrone.top/products/steadywin-gim6010-48-planetary-reducer-servo-motor
Structure,"6061-T6 aluminum square tubing, 1 in x 1 in x 0.125 in wall x 24 in",2,14.89,29.78,https://www.onlinemetals.com/en/buy/aluminum/1-x-0-125-aluminum-square-tube-6061-t6-extruded/pid/18014
Fabrication,"SUNLU PA6-CF black filament, 1.75 mm, 1 kg, 80% PA / 20% carbon fiber",1,44.99,44.99,https://store.sunlu.com/products/nylon6-carbon-fiber-pa6-cf-3d-printer-filament-1kg
Mechanical,"KP08 pillow block bearing, 8 mm bore",10,2.95,29.50,https://www.crcibernetica.com/8-mm-pillow-block-mounted-ball-bearing-kp08/
Mechanical,"M3 stainless-steel bolt, nut, flat-washer and spring-washer assortment, 720 pieces",1,9.99,9.99,https://www.amazon.com/dp/B0FG2BRXL3
Motor control,"ODrive S V3.6 FOC single-axis BLDC motor controller, 60 A, CAN/PWM",2,31.61,63.22,https://www.banggood.com/ODrive-S-V3_6-FOC-BLDC-Motor-Controller-60A-Support-CAN-PWM-Pulse-Encoder-TLE5012B-AS5047-AMT10X-MT6816-ARM-Cortex-M4-p-2043307.html
CAN bus,"SN65HVD230 3.3 V CAN bus transceiver module",1,0.94,0.94,https://www.aliexpress.com/item/1005008512626947.html
CAN bus,"120 ohm 1/4 W 1% metal-film termination resistors, 100-pack",1,0.94,0.94,https://www.aliexpress.com/item/32526023399.html
Electronics,"10 kOhm 1/4 W metal-film resistors, 100-pack",1,0.50,0.50,https://www.aliexpress.com/item/1005006006915852.html
Power,"XT60 male and female connector set, 5 pairs",1,5.60,5.60,https://www.aliexpress.com/item/1005009991978695.html
Wiring,"Variable-AWG wire allowance",1,20.00,20.00,https://www.aliexpress.com/item/4001131337448.html
Embedded control,"STM32F103C8T6 Blue Pill development board, pre-soldered",1,8.99,8.99,https://shillehtek.com/products/shillehtek-pre-soldered-authentic-stm32f103c8t6-arm-stm32
Host computing,"Raspberry Pi 5 Desktop Kit, 8 GB (host computer, storage, power, cooling, and accessories)",1,235.00,235.00,https://www.canakit.com/official-raspberry-pi-5-desktop-kit.html
TOTAL,Current replication BOM,,,761.45,
